Measure,Year,Area,ANZSIC06,Value,Flags
"Geographic Units","2022","Area Outside Region","Q Health Care and Social Assistance",0,
"Geographic Units","2022","Northland Region","R Arts and Recreation Services",402,
"Geographic Units","2022","Auckland Region","R Arts and Recreation Services",3996,
"Geographic Units","2022","Waikato Region","R Arts and Recreation Services",1113,
"Geographic Units","2022","Bay of Plenty Region","R Arts and Recreation Services",705,
"Geographic Units","2022","Gisborne Region","R Arts and Recreation Services",102,
"Geographic Units","2022","Hawke's Bay Region","R Arts and Recreation Services",369,
"Geographic Units","2022","Taranaki Region","R Arts and Recreation Services",258,
"Geographic Units","2022","Manawatu-Wanganui Region","R Arts and Recreation Services",516,
"Geographic Units","2022","Wellington Region","R Arts and Recreation Services",1428,
"Geographic Units","2022","Tasman Region","R Arts and Recreation Services",126,
"Geographic Units","2022","Nelson Region","R Arts and Recreation Services",159,
"Geographic Units","2022","Marlborough Region","R Arts and Recreation Services",102,
"Geographic Units","2022","West Coast Region","R Arts and Recreation Services",90,
"Geographic Units","2022","Canterbury Region","R Arts and Recreation Services",1467,
"Geographic Units","2022","Otago Region","R Arts and Recreation Services",801,
"Geographic Units","2022","Southland Region","R Arts and Recreation Services",276,
"Geographic Units","2022","Area Outside Region","R Arts and Recreation Services",3,
"Geographic Units","2022","Northland Region","S Other Services",1101,
"Geographic Units","2022","Auckland Region","S Other Services",9666,
"Geographic Units","2022","Waikato Region","S Other Services",2694,
"Geographic Units","2022","Bay of Plenty Region","S Other Services",1920,
"Geographic Units","2022","Gisborne Region","S Other Services",240,
"Geographic Units","2022","Hawke's Bay Region","S Other Services",936,
"Geographic Units","2022","Taranaki Region","S Other Services",729,
"Geographic Units","2022","Manawatu-Wanganui Region","S Other Services",1362,
"Geographic Units","2022","Wellington Region","S Other Services",3093,
"Geographic Units","2022","Tasman Region","S Other Services",303,
"Geographic Units","2022","Nelson Region","S Other Services",357,
"Geographic Units","2022","Marlborough Region","S Other Services",312,
"Geographic Units","2022","West Coast Region","S Other Services",195,
"Geographic Units","2022","Canterbury Region","S Other Services",3552,
"Geographic Units","2022","Otago Region","S Other Services",1320,
"Geographic Units","2022","Southland Region","S Other Services",612,
"Geographic Units","2022","Area Outside Region","S Other Services",12,
