sa2,ethnicity,age,fully_imms,partial_imms
105100,Maori,1-4,0.74,0.06
105100,Others,1-4,0.7916666666666666,0.052083333333333336
105100,Pacific,1-4,1.0,0.0
105100,Asian,13-17,0.9,0.1
105100,Maori,13-17,0.8676470588235294,0.014705882352941176
105100,Others,13-17,0.8607594936708861,0.029535864978902954
105100,Pacific,13-17,0.5,0.5
105100,Asian,5-12,0.88,0.08
105100,Maori,5-12,0.8349514563106796,0.06796116504854369
105100,Others,5-12,0.8821428571428571,0.017857142857142856
105100,Pacific,5-12,1.0,0.0
105200,Asian,1-4,1.0,0.0
105200,Maori,1-4,0.7068965517241379,0.10344827586206896
105200,Others,1-4,0.8214285714285714,0.07142857142857142
105200,Maori,13-17,0.8461538461538461,0.05128205128205128
105200,Others,13-17,0.875,0.03125
105200,Pacific,13-17,0.6666666666666666,0.0
105200,Asian,5-12,1.0,0.0
105200,Maori,5-12,0.7831325301204819,0.07228915662650602
105200,Others,5-12,0.8194444444444444,0.1111111111111111
105200,Pacific,5-12,0.8,0.2
105300,Asian,1-4,1.0,0.0
105300,Maori,1-4,0.6896551724137931,0.034482758620689655
105300,Others,1-4,0.6875,0.15625
105300,Pacific,1-4,1.0,0.0
105300,Maori,13-17,0.825,0.05
105300,Others,13-17,0.8771929824561403,0.017543859649122806
105300,Pacific,13-17,0.6666666666666666,0.3333333333333333
105300,Asian,5-12,0.8571428571428571,0.0
105300,Maori,5-12,0.8275862068965517,0.017241379310344827
105300,Others,5-12,0.8270676691729323,0.03007518796992481
105300,Pacific,5-12,0.75,0.0
105400,Asian,1-4,1.0,0.0
105400,Maori,1-4,0.6590909090909091,0.06818181818181818
105400,Others,1-4,0.7192982456140351,0.03508771929824561
105400,Pacific,1-4,0.75,0.0
105400,Asian,13-17,0.8571428571428571,0.0
105400,Maori,13-17,0.8985507246376812,0.014492753623188406
105400,Others,13-17,0.8823529411764706,0.029411764705882353
105400,Pacific,13-17,1.0,0.0
105400,Asian,5-12,0.8125,0.0
105400,Maori,5-12,0.8596491228070176,0.043859649122807015
105400,Others,5-12,0.8722627737226277,0.025547445255474453
105400,Pacific,5-12,0.5,0.3333333333333333
105500,Asian,1-4,1.0,0.0
105500,Maori,1-4,0.8181818181818182,0.06060606060606061
105500,Others,1-4,0.825,0.125
105500,Asian,13-17,0.6923076923076923,0.0
105500,Maori,13-17,0.8648648648648649,0.05405405405405406
105500,Others,13-17,0.8571428571428571,0.047619047619047616
105500,Pacific,13-17,1.0,0.0
105500,Asian,5-12,0.8333333333333334,0.0
105500,Maori,5-12,0.9142857142857143,0.009523809523809525
105500,Others,5-12,0.9019607843137255,0.0392156862745098
105500,Pacific,5-12,0.8333333333333334,0.0
105600,Asian,1-4,1.0,0.0
105600,Maori,1-4,0.6,0.0
105600,Others,1-4,0.6756756756756757,0.10810810810810811
105600,Pacific,1-4,0.5,0.0
105600,Asian,13-17,0.5,0.0
105600,Maori,13-17,0.8421052631578947,0.0
105600,Others,13-17,0.7613636363636364,0.03409090909090909
105600,Pacific,13-17,1.0,0.0
105600,Asian,5-12,1.0,0.0
105600,Maori,5-12,0.8108108108108109,0.08108108108108109
105600,Others,5-12,0.8,0.0380952380952381
105600,Pacific,5-12,0.5,0.5
105700,Asian,1-4,0.0,0.0
105700,Maori,1-4,0.6428571428571429,0.07142857142857142
